episode,reward,length,success,total_steps
1,100.0,1,True,1
2,-2519.854,500,False,501
3,-5248.7773,500,False,1001
4,-2580.0771,500,False,1501
5,69.48307,38,True,1539
6,2.7944412,71,True,1610
,,,,2048
7,-3276.459,500,False,2548
8,-1884.1531,500,False,3048
9,-1880.1614,500,False,3548
10,-151.85483,150,True,3698
,,,,4096
11,-4794.2476,500,False,4596
12,-5598.6973,500,False,5096
13,-2937.5332,500,False,5596
14,-3515.913,500,False,6096
,,,,6144
15,-5963.7495,500,False,6644
16,-4136.833,500,False,7144
17,100.0,1,True,7145
18,-2481.365,500,False,7645
19,-3648.4004,500,False,8145
,,,,8192
20,-3802.735,500,False,8692
21,-2311.92,500,False,9192
22,-3762.0603,500,False,9692
23,-3282.6438,500,False,10192
,,,,10240
24,-2572.9414,500,False,10740
25,-2312.1348,500,False,11240
26,-3317.2275,500,False,11740
27,-3754.3542,500,False,12240
,,,,12288
28,48.775272,41,True,12329
29,-26.412224,81,True,12410
30,-4033.2612,500,False,12910
31,3.6742706,54,True,12964
32,-3523.8425,500,False,13464
33,-3593.19,500,False,13964
,,,,14336
34,-2805.4097,500,False,14836
35,-1911.8944,500,False,15336
36,-2872.791,500,False,15836
37,-4598.7764,500,False,16336
,,,,16384
38,-2767.9094,500,False,16884
39,-4063.079,500,False,17384
40,-2638.4172,500,False,17884
41,-4425.757,500,False,18384
,,,,18432
42,-4159.51,500,False,18932
43,-3907.2983,500,False,19432
44,72.023636,28,True,19460
45,-942.61176,500,False,19960
46,-4219.5386,500,False,20460
,,,,20480
47,-4406.8247,500,False,20980
48,-4195.234,500,False,21480
49,-2603.3733,500,False,21980
50,-4036.9136,500,False,22480
,,,,22528
51,-3637.8203,500,False,23028
52,-4023.7764,500,False,23528
53,74.842224,27,True,23555
54,-2938.3657,500,False,24055
55,-4058.8008,500,False,24555
,,,,24576
56,-4329.401,500,False,25076
57,-2694.3027,500,False,25576
58,-3030.4717,500,False,26076
59,-2656.4143,500,False,26576
,,,,26624
60,-6317.424,500,False,27124
61,-3383.431,500,False,27624
62,-3166.2812,500,False,28124
63,-5056.711,500,False,28624
,,,,28672
64,-4401.323,500,False,29172
65,-3568.1753,500,False,29672
66,-3910.965,500,False,30172
67,-4370.385,500,False,30672
,,,,30720
68,-1688.9315,500,False,31220
69,-2709.5176,500,False,31720
70,-3820.6753,500,False,32220
71,-1620.0205,500,False,32720
,,,,32768
72,-2832.0933,500,False,33268
73,100.0,1,True,33269
74,-3362.441,500,False,33769
75,-6195.562,500,False,34269
76,-5213.1074,500,False,34769
,,,,34816
77,-5488.8374,500,False,35316
78,-1884.4083,500,False,35816
79,-3380.8647,500,False,36316
80,-4217.204,500,False,36816
,,,,36864
81,-4289.18,500,False,37364
82,-2565.3684,500,False,37864
83,-3912.6113,500,False,38364
84,-2505.0483,500,False,38864
,,,,38912
85,-1879.3485,500,False,39412
86,-1812.0577,500,False,39912
87,-2274.4448,500,False,40412
88,-4185.3145,500,False,40912
,,,,40960
89,19.496475,57,True,41017
90,-2636.8843,500,False,41517
91,-2226.9897,500,False,42017
92,-1530.7753,500,False,42517
,,,,43008
93,-4155.171,500,False,43508
94,-1782.5188,500,False,44008
95,35.072456,72,True,44080
96,-4334.561,500,False,44580
97,100.0,1,True,44581
,,,,45056
98,-3523.4575,500,False,45556
99,-762.2854,500,False,46056
100,-2608.5317,500,False,46556
101,-2904.5627,500,False,47056
,,,,47104
102,-2891.1047,500,False,47604
103,-1678.0592,500,False,48104
104,-4985.7437,500,False,48604
105,-877.9587,500,False,49104
,,,,49152
106,-3674.8755,500,False,49652
107,-2578.9424,500,False,50152
108,-4452.002,500,False,50652
109,-2835.0298,500,False,51152
,,,,51200
110,-2018.5217,500,False,51700
111,-3870.4011,500,False,52200
112,-2722.6084,500,False,52700
113,-2099.0693,500,False,53200
,,,,53248
114,-1920.827,500,False,53748
115,-4341.9614,500,False,54248
116,-747.10046,500,False,54748
117,-4220.66,500,False,55248
,,,,55296
118,88.97952,16,True,55312
119,-2592.0007,500,False,55812
120,-2574.1265,500,False,56312
121,100.0,1,True,56313
122,-2708.3232,500,False,56813
123,-1151.4895,500,False,57313
,,,,57344
124,-3472.8755,500,False,57844
125,-3708.5835,500,False,58344
126,-4903.29,500,False,58844
127,-2480.0564,500,False,59344
,,,,59392
128,-2033.9467,500,False,59892
129,-5636.347,500,False,60392
130,-3302.6824,500,False,60892
131,-3928.5505,500,False,61392
,,,,61440
132,-5052.039,500,False,61940
133,-3563.2039,500,False,62440
134,-4243.4473,500,False,62940
135,-1603.6178,500,False,63440
,,,,63488
136,-2875.0056,500,False,63988
137,-3518.4211,500,False,64488
138,-3787.5562,500,False,64988
139,-3690.2368,500,False,65488
,,,,65536
140,-4284.6924,500,False,66036
141,-4062.2468,500,False,66536
142,-1731.864,500,False,67036
143,-1544.2264,500,False,67536
,,,,67584
144,-1483.874,500,False,68084
145,-4488.111,500,False,68584
146,-3819.9087,500,False,69084
147,-1702.6523,500,False,69584
,,,,69632
148,-1302.6678,500,False,70132
149,-1567.6797,500,False,70632
150,-2737.931,500,False,71132
151,-4332.3677,500,False,71632
,,,,71680
152,-2475.7263,500,False,72180
153,-4229.3174,500,False,72680
154,-2671.8733,500,False,73180
155,-3138.0828,500,False,73680
,,,,73728
156,-1957.7028,500,False,74228
157,-3622.9678,500,False,74728
158,-3798.034,500,False,75228
159,-3790.4856,500,False,75728
,,,,75776
160,-5021.0737,500,False,76276
161,100.0,1,True,76277
162,-1289.0977,500,False,76777
163,-2401.6538,500,False,77277
164,57.814564,32,True,77309
165,-1555.7257,500,False,77809
,,,,77824
166,-4074.9614,500,False,78324
167,-5307.866,500,False,78824
168,-5185.895,500,False,79324
169,-2915.0806,500,False,79824
,,,,79872
170,-3516.1362,500,False,80372
171,-2276.6702,500,False,80872
172,-3375.7122,500,False,81372
173,-4576.5996,500,False,81872
,,,,81920
174,-4322.54,500,False,82420
175,-4916.583,500,False,82920
176,-4217.6655,500,False,83420
177,-2428.495,500,False,83920
,,,,83968
178,-4792.8467,500,False,84468
179,-2642.356,500,False,84968
180,-4139.5396,500,False,85468
181,-2283.9207,500,False,85968
,,,,86016
182,-4024.827,500,False,86516
183,-2952.2673,500,False,87016
184,-4671.25,500,False,87516
185,-4714.303,500,False,88016
,,,,88064
186,-3865.3293,500,False,88564
187,-2943.292,500,False,89064
188,-2983.9185,500,False,89564
189,-4091.3936,500,False,90064
,,,,90112
190,52.475723,39,True,90151
191,-4082.318,500,False,90651
192,-2579.2236,500,False,91151
193,-4921.4985,500,False,91651
194,-4080.6023,500,False,92151
,,,,92160
195,-783.6535,49,True,92209
196,-2285.4343,500,False,92709
197,-3338.75,500,False,93209
198,-3097.519,500,False,93709
,,,,94208
199,-2023.3718,500,False,94708
200,-3404.7942,500,False,95208
201,-4090.7043,500,False,95708
202,-2042.4144,500,False,96208
,,,,96256
203,-3665.9456,500,False,96756
204,-3833.3398,500,False,97256
205,-3165.7498,500,False,97756
206,-4135.723,500,False,98256
,,,,98304
207,-3217.0469,500,False,98804
208,-4311.3145,500,False,99304
209,-4308.237,500,False,99804
210,-3586.557,500,False,100304
,,,,100352
211,-635.99115,39,True,100391
212,-3836.9678,500,False,100891
213,-3884.5107,500,False,101391
214,100.0,1,True,101392
215,-4814.475,500,False,101892
216,-4252.186,500,False,102392
,,,,102400
217,-3846.4316,500,False,102900
218,-3603.4805,500,False,103400
219,-3653.5488,500,False,103900
220,-3431.9988,500,False,104400
,,,,104448
221,-3519.759,500,False,104948
222,-5975.66,500,False,105448
223,-3797.0266,500,False,105948
224,-2554.1577,500,False,106448
,,,,106496
225,-5004.6245,500,False,106996
226,-4251.7446,500,False,107496
227,-1334.6936,500,False,107996
228,-3777.799,500,False,108496
,,,,108544
229,-2951.3145,500,False,109044
230,-3648.6387,500,False,109544
231,-3737.3616,500,False,110044
232,-5276.524,500,False,110544
,,,,110592
233,-3486.9268,500,False,111092
234,-2541.7224,500,False,111592
235,-2193.5613,500,False,112092
236,-5172.9097,500,False,112592
,,,,112640
237,-2755.1897,500,False,113140
238,-3509.6062,500,False,113640
239,-5334.48,500,False,114140
240,-4029.7327,500,False,114640
,,,,114688
241,-1679.5573,500,False,115188
242,-4339.0693,500,False,115688
243,-5588.135,500,False,116188
244,-5261.8857,500,False,116688
,,,,116736
245,-4527.0996,500,False,117236
246,15.929649,39,True,117275
247,-2646.671,500,False,117775
248,-4612.368,500,False,118275
249,-5520.2637,500,False,118775
,,,,118784
250,-5007.1104,500,False,119284
251,-4878.4033,500,False,119784
252,-3904.8796,500,False,120284
253,-3034.656,500,False,120784
,,,,120832
254,-2807.6194,500,False,121332
255,-3775.2085,500,False,121832
256,-4648.573,500,False,122332
257,-3835.8184,500,False,122832
,,,,122880
258,-3122.6565,500,False,123380
259,-3959.7314,500,False,123880
260,-3532.6067,500,False,124380
261,-5433.998,500,False,124880
,,,,124928
262,-5632.974,500,False,125428
263,-3304.2515,500,False,125928
264,-3557.71,500,False,126428
265,-5903.68,500,False,126928
,,,,126976
266,-4626.1665,500,False,127476
267,34.841415,30,True,127506
268,-5303.8037,500,False,128006
269,-2038.2616,500,False,128506
270,-4051.5527,500,False,129006
,,,,129024
271,-4396.323,500,False,129524
272,-2353.9395,500,False,130024
273,-3309.4126,500,False,130524
274,-4856.647,500,False,131024
,,,,131072
275,-2636.9722,500,False,131572
276,19.450302,34,True,131606
277,-4159.4976,500,False,132106
278,-4117.0312,500,False,132606
279,-5067.061,500,False,133106
,,,,133120
280,-4718.1777,500,False,133620
281,-39.756653,52,True,133672
282,-2069.5518,500,False,134172
283,-4395.976,500,False,134672
,,,,135168
284,-4742.3335,500,False,135668
